TENURE,LU_DESCS,HECTARES,LC_DESC_09,LC_DESC_08
PRIVATE,Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),0.20006244,Unknown,Unknown
PRIVATE,Native Hardwood (standing timber),0.51920791,Unknown,Unknown
PRIVATE,Unclassified Private Land,0.18985294,Unknown,Unknown
PRIVATE,Detached Home,0.20000601,Unknown,Unknown
PRIVATE,Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),0.19987593,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),4.51212262,Unknown,Unknown
PRIVATE,Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),1.73570203,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),32.59080483,Pasture and grassland,Pasture and grassland
PRIVATE,Livestock Production (Beef Cattle),31.22080597,Pasture and grassland,Pasture and grassland
PRIVATE,Livestock Production (Dairy Cattle),20.28353571,Pasture and grassland,Pasture and grassland
PRIVATE,Livestock Production (Beef Cattle),0.19701282,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),0.06047718,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),5.18616973,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),0.13776134,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),0.52773816,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),0.93773953,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),26.28022969,Pasture and grassland,Pasture and grassland
PRIVATE,Livestock Production (Dairy Cattle),0.26902608,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),0.62420421,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),2.39086264,Unknown,Unknown
PRIVATE,Livestock Production (Beef Cattle),25.41789142,Hardwood plantation,Unknown
PUBLIC,Reserved Land,11.82971685,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),16.48622227,Pasture and grassland,Pasture and grassland
PRIVATE,Livestock Production (Beef Cattle),32.01873040,Softwood Plantation,Unknown
PRIVATE,Livestock Production (Beef Cattle),6.58897583,Unknown,Unknown
PUBLIC,Reserved Land,0.13790928,Unknown,Unknown
PUBLIC,Reserved Land,75.45204941,Pasture and grassland,Native woody cover
PUBLIC,Reserved Land,31.59177588,Native woody cover,Native woody cover
PUBLIC,Reserved Land,0.42953033,Unknown,Unknown
PUBLIC,Reserved Land,0.30938759,Unknown,Unknown
PUBLIC,Reserved Land,0.49180796,Unknown,Unknown
PUBLIC,Reserved Land,0.03707528,Unknown,Unknown
PUBLIC,Reserved Land,10.68023632,Unknown,Unknown
PUBLIC,Reserved Land,3.33763024,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),12.58021103,Pasture and grassland,Unknown
PRIVATE,Livestock Production (Beef Cattle),23.40773324,Hardwood plantation,Unknown
PRIVATE,Livestock Production (Beef Cattle),4.09451134,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),12.73491238,Pasture and grassland,Pasture and grassland
PRIVATE,Livestock Production (Beef Cattle),16.14956127,Pasture and grassland,Pasture and grassland
PUBLIC,Creek Reserve (fresh Water),8.63429611,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),17.31906622,Pasture and grassland,Pasture and grassland
PRIVATE,Unclassified Private Land,0.89196784,Unknown,Unknown
PRIVATE,Livestock Production (Beef Cattle),13.68603945,Pasture and grassland,Pasture and grassland
PRIVATE,Livestock Production (Beef Cattle),2.61026750,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),28.72212209,Pasture and grassland,Pasture and grassland
PRIVATE,Livestock Production (Dairy Cattle),17.37918164,Pasture and grassland,Pasture and grassland
PRIVATE,Market Garden - Vegetables (generally less than 20ha plantings),9.85374437,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),17.85703000,Pasture and grassland,Pasture and grassland
PRIVATE,Livestock Production (Beef Cattle),51.21127669,Pasture and grassland,Pasture and grassland
PRIVATE,Livestock Production (Dairy Cattle),5.62690368,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),5.18468294,Unknown,Unknown
PRIVATE,Livestock Production (Beef Cattle),17.86715206,Pasture and grassland,Pasture and grassland
PRIVATE,Livestock Production (Beef Cattle),28.50384147,Pasture and grassland,Pasture and grassland
PRIVATE,Livestock Production (Dairy Cattle),3.84343497,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),8.55673439,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),1.62428061,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),1.20576849,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),3.83864020,Unknown,Unknown
PRIVATE,Livestock Production (Beef Cattle),49.64529867,Pasture and grassland,Pasture and grassland
PRIVATE,Livestock Production (Dairy Cattle),3.61382784,Unknown,Unknown
PRIVATE,Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),3.47816106,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),3.23916697,Unknown,Unknown
PRIVATE,Livestock Production (Beef Cattle),101.46098264,Pasture and grassland,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),2.73865189,Unknown,Unknown
PRIVATE,Livestock Production (Beef Cattle),0.49003862,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),2.99038671,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),4.03047480,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),3.46022271,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),7.67507567,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),3.78580761,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),6.95917386,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),3.17996942,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),9.21905752,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),3.46607176,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),3.47549930,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),13.94680645,Pasture and grassland,Pasture and grassland
PRIVATE,Mixed farming and grazing  (generally more than 20ha),6.58667696,Unknown,Unknown
PRIVATE,Livestock Production (Beef Cattle),6.18546208,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),12.10932461,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),0.27953891,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),11.96984549,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),2.54136703,Unknown,Unknown
PUBLIC,Community Service Facilities or Other,0.84114057,Unknown,Unknown
PRIVATE,Detached Home,0.25243462,Unknown,Unknown
PUBLIC,Creek Reserve (fresh Water),2.50801351,Unknown,Unknown
PRIVATE,Detached Home,0.84740645,Unknown,Unknown
PRIVATE,Detached Home,0.23617584,Unknown,Unknown
PRIVATE,Detached Home,0.20467094,Unknown,Unknown
PRIVATE,Vacant Residential Home Site / Surveyed Lot,0.20467859,Unknown,Unknown
PRIVATE,Detached Home,0.23962013,Unknown,Unknown
PRIVATE,Detached Home,0.18680545,Unknown,Unknown
PRIVATE,Detached Home,0.22324873,Unknown,Unknown
PRIVATE,Detached Home,0.20502257,Unknown,Unknown
PRIVATE,Detached Home,0.19934796,Unknown,Unknown
PRIVATE,Detached Home,0.20502672,Unknown,Unknown
PUBLIC,"Unspecified - Transport, Storage, Utilities and Communication",0.23456543,Unknown,Unknown
PRIVATE,Detached Home,0.10087793,Unknown,Unknown
PRIVATE,Detached Home,0.12954127,Unknown,Unknown
PRIVATE,Detached Home,0.20830168,Unknown,Unknown
PRIVATE,Vacant Residential Home Site / Surveyed Lot,1.18870058,Unknown,Unknown
PRIVATE,Detached Home,0.12128659,Unknown,Unknown
PRIVATE,Detached Home,0.20503076,Unknown,Unknown
PRIVATE,Detached Home,0.12128221,Unknown,Unknown
PRIVATE,Detached Home,0.08578184,Unknown,Unknown
PRIVATE,Vacant Residential Home Site / Surveyed Lot,0.10087358,Unknown,Unknown
PRIVATE,Detached Home,0.12128513,Unknown,Unknown
PRIVATE,Vacant Residential Home Site / Surveyed Lot,0.10340049,Unknown,Unknown
PUBLIC,"Unspecified - Transport, Storage, Utilities and Communication",0.16049284,Unknown,Unknown
PRIVATE,Detached Home,0.14749836,Unknown,Unknown
PRIVATE,Detached Home,0.07960390,Unknown,Unknown
PRIVATE,Vacant Residential Home Site / Surveyed Lot,0.07982038,Unknown,Unknown
PRIVATE,Detached Home,0.12659496,Unknown,Unknown
PRIVATE,Detached Home,0.14616343,Unknown,Unknown
PRIVATE,Detached Home,0.15190086,Unknown,Unknown
PRIVATE,Detached Home,0.14472409,Unknown,Unknown
PRIVATE,Detached Home,0.10736078,Unknown,Unknown
PUBLIC,"Unspecified - Transport, Storage, Utilities and Communication",0.31558849,Unknown,Unknown
PRIVATE,Detached Home,0.15193605,Unknown,Unknown
PRIVATE,Unclassified Private Land,0.09446472,Unknown,Unknown
PRIVATE,Detached Home,0.12495413,Unknown,Unknown
PRIVATE,Vacant Residential Home Site / Surveyed Lot,0.40968097,Unknown,Unknown
PRIVATE,Detached Home,0.10113739,Unknown,Unknown
PRIVATE,Detached Home,0.15180707,Unknown,Unknown
PRIVATE,Detached Home,0.15150700,Unknown,Unknown
PRIVATE,Vacant Residential Home Site / Surveyed Lot,0.10113285,Unknown,Unknown
PRIVATE,Detached Home,0.22422207,Unknown,Unknown
PRIVATE,Detached Home,0.19255803,Unknown,Unknown
PRIVATE,Detached Home,0.10113545,Unknown,Unknown
PRIVATE,Vacant Residential Home Site / Surveyed Lot,0.09628088,Unknown,Unknown
PRIVATE,Vacant Residential Home Site / Surveyed Lot,0.09627377,Unknown,Unknown
PRIVATE,Detached Home,0.10112877,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),31.92347569,Pasture and grassland,Pasture and grassland
PRIVATE,Unclassified Private Land,3.37877389,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),11.84638930,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),17.92948646,Hardwood plantation,Pasture and grassland
PRIVATE,Mixed farming and grazing  (generally more than 20ha),3.05266137,Unknown,Unknown
PRIVATE,Vacant Residential Home Site / Surveyed Lot,5.84955900,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),12.14621026,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),0.05659383,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),53.06378237,Pasture and grassland,Pasture and grassland
PRIVATE,Detached Home,2.42661876,Unknown,Unknown
PRIVATE,Detached Home,3.91075364,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),31.95970093,Softwood Plantation,Pasture and grassland
PRIVATE,Vacant Residential Home Site / Surveyed Lot,0.10113594,Unknown,Unknown
PRIVATE,Detached Home,0.17168832,Unknown,Unknown
PRIVATE,Detached Home,0.11908105,Unknown,Unknown
PRIVATE,Detached Home,1.81350858,Unknown,Unknown
PRIVATE,Retail Premises,0.12924629,Unknown,Unknown
PRIVATE,Detached Home,0.20804689,Unknown,Unknown
PRIVATE,Detached Home,0.23620278,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),0.93396053,Unknown,Unknown
PRIVATE,Detached Home,0.10137011,Unknown,Unknown
PRIVATE,Detached Home,0.14238863,Unknown,Unknown
PRIVATE,Unclassified Private Land,0.10133800,Unknown,Unknown
PRIVATE,Retail Premises (single occupancy/single title/single stratum),0.18649858,Unknown,Unknown
PRIVATE,Detached Home,0.15870636,Unknown,Unknown
PUBLIC,Community Service Facilities or Other,0.23977525,Unknown,Unknown
PRIVATE,Detached Home,0.24775749,Unknown,Unknown
PRIVATE,Detached Home,0.26640700,Unknown,Unknown
PRIVATE,Detached Home,0.48601214,Unknown,Unknown
PRIVATE,Detached Home,0.22219814,Unknown,Unknown
PRIVATE,Unclassified Private Land,0.22643990,Unknown,Unknown
PRIVATE,Vacant Residential Home Site / Surveyed Lot,0.08007078,Unknown,Unknown
PRIVATE,Unclassified Private Land,0.26220484,Unknown,Unknown
PRIVATE,Detached Home,0.08007462,Unknown,Unknown
PUBLIC,Community Service Facilities or Other,2.00461654,Unknown,Unknown
PRIVATE,Unclassified Private Land,0.42133454,Unknown,Unknown
PRIVATE,Detached Home,0.26674945,Unknown,Unknown
PRIVATE,Detached Home,0.40470618,Unknown,Unknown
PRIVATE,Detached Home,0.60882018,Unknown,Unknown
PRIVATE,Detached Home,0.08007362,Unknown,Unknown
PRIVATE,Detached Home,0.31977804,Unknown,Unknown
PRIVATE,Detached Home,0.08007441,Unknown,Unknown
PRIVATE,Detached Home,0.06684818,Unknown,Unknown
PRIVATE,Detached Home,0.08006819,Unknown,Unknown
PRIVATE,Detached Home,0.07764224,Unknown,Unknown
PRIVATE,Detached Home,0.16933008,Unknown,Unknown
PRIVATE,Detached Home,0.08348541,Unknown,Unknown
PRIVATE,Detached Home,0.15971166,Unknown,Unknown
PRIVATE,Retail Premises (single occupancy/single title/single stratum),0.11271004,Unknown,Unknown
PUBLIC,Creek Reserve (fresh Water),9.53626156,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),16.00383098,Pasture and grassland,Pasture and grassland
PRIVATE,Mixed farming and grazing  (generally more than 20ha),3.15972914,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),13.40276428,Pasture and grassland,Pasture and grassland
PRIVATE,Livestock Production (Beef Cattle),22.14151883,Pasture and grassland,Pasture and grassland
PRIVATE,Mixed farming and grazing  (generally more than 20ha),12.58115854,Pasture and grassland,Pasture and grassland
PRIVATE,Unclassified Private Land,7.63360570,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),0.80119613,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),0.51559856,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),11.16381870,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),17.33841987,Pasture and grassland,Pasture and grassland
PRIVATE,Livestock Production (Dairy Cattle),14.74708957,Pasture and grassland,Pasture and grassland
PRIVATE,Unclassified Private Land,0.39398910,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),20.22971233,Pasture and grassland,Pasture and grassland
PUBLIC,Creek Reserve (fresh Water),1.92301302,Unknown,Unknown
PRIVATE,Unclassified Private Land,0.86307800,Unknown,Unknown
PUBLIC,Creek Reserve (fresh Water),1.52358072,Unknown,Unknown
PRIVATE,Tourist Park / Caravan Park / Camping Ground,3.12543621,Unknown,Unknown
PRIVATE,Unclassified Private Land,3.16618797,Unknown,Unknown
PRIVATE,Vacant Residential Home Site / Surveyed Lot,0.19655495,Unknown,Unknown
PRIVATE,Unclassified Private Land,0.19547698,Unknown,Unknown
PRIVATE,Vacant Residential Home Site / Surveyed Lot,0.19895746,Unknown,Unknown
PRIVATE,General Purpose Factory,1.14400914,Unknown,Unknown
PRIVATE,Pub/Tavern/Hotel/Licensed Club/Restaurant/Licensed Restaurant/Nightclub,0.08410014,Unknown,Unknown
PUBLIC,Creek Reserve (fresh Water),1.01044144,Unknown,Unknown
PUBLIC,Creek Reserve (fresh Water),0.27353540,Unknown,Unknown
PRIVATE,Pub/Tavern/Hotel/Licensed Club/Restaurant/Licensed Restaurant/Nightclub,0.07457560,Unknown,Unknown
PRIVATE,Detached Home,0.01299438,Unknown,Unknown
PRIVATE,Detached Home,0.02705566,Unknown,Unknown
PRIVATE,General Purpose Factory,1.19173865,Unknown,Unknown
PRIVATE,Detached Home,0.05059868,Unknown,Unknown
PRIVATE,Detached Home,0.01215180,Unknown,Unknown
PRIVATE,Detached Home,0.08860464,Unknown,Unknown
PRIVATE,Detached Home,0.09760456,Unknown,Unknown
PRIVATE,Detached Home,0.00194753,Unknown,Unknown
PRIVATE,Detached Home,0.11049927,Unknown,Unknown
PRIVATE,Detached Home,0.02412420,Unknown,Unknown
PRIVATE,Detached Home,0.09732117,Unknown,Unknown
PRIVATE,Detached Home,0.17470074,Unknown,Unknown
PRIVATE,Detached Home,0.10103600,Unknown,Unknown
PRIVATE,Detached Home,0.10404342,Unknown,Unknown
PRIVATE,Vacant Residential Home Site / Surveyed Lot,0.32113605,Unknown,Unknown
PRIVATE,Detached Home,0.00292059,Unknown,Unknown
PRIVATE,Detached Home,0.06951900,Unknown,Unknown
PRIVATE,Detached Home,0.08007597,Unknown,Unknown
PRIVATE,Detached Home,0.00631641,Unknown,Unknown
PRIVATE,Detached Home,0.01967896,Unknown,Unknown
PRIVATE,Detached Home,0.07433435,Unknown,Unknown
PRIVATE,Detached Home,0.01404730,Unknown,Unknown
PUBLIC,National Park - Land,650.86545076,Native woody cover,Native woody cover
PUBLIC,National Park - Land,72.37075159,Native woody cover,Pasture and grassland
PUBLIC,Creek Reserve (fresh Water),16.76942862,Pasture and grassland,Pasture and grassland
PUBLIC,National Park - Land,11.03243875,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),19.91464558,Pasture and grassland,Pasture and grassland
PUBLIC,National Park - Land,5.23055957,Unknown,Unknown
PUBLIC,National Park - Land,35.92816187,Native woody cover,Unknown
PRIVATE,Livestock Production (Beef Cattle),20.69293897,Pasture and grassland,Pasture and grassland
PRIVATE,Unclassified Private Land,0.09289002,Unknown,Unknown
PUBLIC,Reserved Land,409.16612410,Pasture and grassland,Native woody cover
PUBLIC,National Park - Land,0.00998756,Unknown,Unknown
PUBLIC,National Park - Land,0.18923256,Unknown,Unknown
PRIVATE,Livestock Production (Beef Cattle),4.78647155,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),9.45060871,Unknown,Unknown
PUBLIC,Reserved Land,1.08361332,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),1.71741892,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),0.64162217,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),25.67181294,Softwood Plantation,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),4.68366777,Unknown,Unknown
PUBLIC,Reserved Land,1.31351167,Unknown,Unknown
PRIVATE,Livestock Production (Beef Cattle),39.86781950,Pasture and grassland,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),27.11878398,Pasture and grassland,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),49.82149198,Pasture and grassland,Pasture and grassland
PRIVATE,Livestock Production (Beef Cattle),8.39827960,Unknown,Unknown
PRIVATE,Livestock Production (Beef Cattle),28.13255002,Pasture and grassland,Pasture and grassland
PRIVATE,Mixed farming and grazing  (generally more than 20ha),3.88857506,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),3.64256403,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),8.26513265,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),12.73364466,Pasture and grassland,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),1.41099374,Unknown,Unknown
PRIVATE,Livestock Production (Beef Cattle),1.21835376,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),15.26263988,Pasture and grassland,Pasture and grassland
PRIVATE,Mixed farming and grazing  (generally more than 20ha),8.82131256,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),0.02730255,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),2.14065297,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),0.84667301,Unknown,Unknown
PUBLIC,National Park - Land,166.93865570,Native woody cover,Native woody cover
PRIVATE,Mixed farming and grazing  (generally more than 20ha),12.10730523,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),13.46424943,Pasture and grassland,Pasture and grassland
PRIVATE,Unclassified Private Land,14.66159873,Pasture and grassland,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),5.51578992,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),2.46091922,Unknown,Unknown
PRIVATE,Unclassified Private Land,2.15477530,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),13.85037189,Native woody cover,Unknown
PRIVATE,Unclassified Private Land,1.69551835,Unknown,Unknown
PRIVATE,Unclassified Private Land,1.92448280,Unknown,Unknown
PRIVATE,Unclassified Private Land,2.31236012,Unknown,Unknown
PRIVATE,Unclassified Private Land,68.74159014,Softwood Plantation,Unknown
PRIVATE,Unclassified Private Land,2.44014614,Unknown,Unknown
PRIVATE,Unclassified Private Land,2.36390234,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),1.70634485,Unknown,Unknown
PRIVATE,Unclassified Private Land,7.66179547,Unknown,Unknown
PRIVATE,Detached Home,1.65238802,Unknown,Unknown
PRIVATE,Detached Home,1.01189731,Unknown,Unknown
PRIVATE,Unclassified Private Land,0.70491773,Unknown,Unknown
PRIVATE,Vacant Residential Home Site / Surveyed Lot,0.81132664,Unknown,Unknown
